ID;TIME
547;13573216.27438 ns;
548;13450725.93540 ns;
549;13300251.21570 ns;
550;13311976.56691 ns;
551;13380518.18311 ns;
552;13318230.39800 ns;
553;13372004.96346 ns;
554;13254148.88561 ns;
555;13246336.02053 ns;
556;13206883.33362 ns;
557;13247760.94407 ns;
558;13378445.05906 ns;
559;13251649.21582 ns;
560;13263211.58558 ns;
561;13249998.91222 ns;
562;13325656.76421 ns;
563;13356355.95024 ns;
564;13232959.43439 ns;
565;13206913.13595 ns;
566;13323917.98496 ns;
567;13211312.70379 ns;
568;13330530.37524 ns;
569;13290517.03215 ns;
570;13228315.86003 ns;
571;13248804.95667 ns;
572;13255859.72518 ns;
573;13216296.21089 ns;
574;13221548.87021 ns;
575;13230342.41796 ns;
576;13306061.73724 ns;
577;13214163.48219 ns;
578;13475226.23837 ns;
579;13412681.40823 ns;
580;13621987.77497 ns;
581;13383843.93603 ns;
582;13564965.68769 ns;
583;13366679.66098 ns;
584;13450250.02956 ns;
585;13696639.79858 ns;
586;13585157.69243 ns;
587;13216270.13385 ns;
588;13259208.76116 ns;
589;13537970.37154 ns;
590;13270034.45476 ns;
591;13246306.21821 ns;
592;13287132.60591 ns;
593;13271634.46695 ns;
594;13376147.48627 ns;
595;13231222.51779 ns;
596;13249283.65648 ns;
597;13288285.58326 ns;
598;13283290.90029 ns;
599;13230481.18502 ns;
600;13249283.65648 ns;
601;13240939.00621 ns;
602;13229005.03874 ns;
603;13266480.52782 ns;
604;13209483.58625 ns;
605;13254954.47963 ns;
606;13240059.83770 ns;
607;13325961.30669 ns;
608;13260944.74643 ns;
609;13731748.79700 ns;
610;13475259.76598 ns;
611;13290305.62192 ns;
612;13318217.35948 ns;
613;13372438.02845 ns;
614;13208957.38900 ns;
615;13217679.22491 ns;
616;13297664.00158 ns;
617;13235615.56637 ns;
618;13215290.38250 ns;
619;13320080.93596 ns;
620;13529122.80709 ns;
621;13237503.35723 ns;
622;13237610.45933 ns;
623;13257840.64829 ns;
624;13210064.73154 ns;
625;13253433.62987 ns;
626;13340412.63908 ns;
627;13370949.77498 ns;
628;13384231.36622 ns;
629;13353404.58900 ns;
630;13387564.56971 ns;
631;13252884.14955 ns;
632;13239688.23999 ns;
633;13301409.78098 ns;
634;13250228.01757 ns;
635;13229981.06480 ns;
636;13330496.84763 ns;
637;13300261.46024 ns;
638;13355445.11676 ns;
639;13286640.86759 ns;
640;13541170.39591 ns;
641;13263639.99397 ns;
642;13236440.71817 ns;
643;13253645.04009 ns;
644;13340843.84143 ns;
645;13300040.73679 ns;
646;13233663.51426 ns;
647;13251535.59446 ns;
648;13219536.28212 ns;
649;13228095.13658 ns;
650;13227489.77691 ns;
651;13394769.28115 ns;
652;13207724.31791 ns;
653;13207109.64501 ns;
654;13340706.00569 ns;
655;13235964.81234 ns;
656;13233245.35042 ns;
657;13279824.51767 ns;
658;13230048.12002 ns;
659;13209549.71015 ns;
660;13212346.47185 ns;
661;13329560.86844 ns;
662;13314616.86641 ns;
663;13299290.09080 ns;
664;13308260.58984 ns;
665;13551705.51687 ns;
666;13239511.28870 ns;
667;13221221.04466 ns;
668;13271055.18430 ns;
669;13279372.82622 ns;
670;13244980.01486 ns;
671;13568839.98960 ns;
672;13366101.30966 ns;
673;13444796.20457 ns;
674;13275766.74521 ns;
675;13278217.98623 ns;
676;14764627.44176 ns;
677;13274634.25696 ns;
678;13288348.91319 ns;
679;13275437.05702 ns;
680;13212042.86069 ns;
681;13254353.77657 ns;
682;13271271.25114 ns;
683;13251560.74017 ns;
684;13243861.49645 ns;
685;13340971.43263 ns;
686;13214512.72815 ns;
687;13214541.59915 ns;
688;13403367.25116 ns;
689;13312124.64720 ns;
690;13274618.42448 ns;
691;13270273.80466 ns;
692;13301407.91833 ns;
693;13302417.47200 ns;
694;13626843.69087 ns;
695;13344298.11686 ns;
696;13233137.31700 ns;
697;13230676.76276 ns;
698;13257157.05752 ns;
699;13278161.17555 ns;
700;13250579.12618 ns;
701;13237427.92010 ns;
702;13652786.61251 ns;
703;13406658.54514 ns;
704;13271713.62936 ns;
705;13248965.14416 ns;
706;13352592.47571 ns;
707;14419533.31232 ns;
708;13205490.07505 ns;
709;13264045.11929 ns;
710;13230394.57202 ns;
711;13205930.59063 ns;
712;13249012.64161 ns;
713;13287329.11497 ns;
714;13204410.67219 ns;
715;13215960.93476 ns;
716;13341310.43404 ns;
717;13245917.85669 ns;
718;13387203.21655 ns;
719;13321879.31985 ns;
720;13229217.38029 ns;
721;13218025.67691 ns;
722;13213413.76752 ns;
723;13309411.70454 ns;
724;13272183.01594 ns;
725;13229659.75851 ns;
726;13284184.96996 ns;
727;13245811.68592 ns;
728;13245355.33786 ns;
729;13205459.34141 ns;
730;13263205.99765 ns;
731;13340764.67901 ns;
732;13208383.69429 ns;
733;13435946.77746 ns;
734;13473259.28509 ns;
735;13269111.51409 ns;
736;13267217.20397 ns;
737;13316590.33895 ns;
738;14402534.81269 ns;
739;13263612.98561 ns;
740;13291777.11159 ns;
741;13226676.73230 ns;
742;13230314.47828 ns;
743;13215917.16260 ns;
744;13298081.23410 ns;
745;13206163.42127 ns;
746;13214861.04280 ns;
747;13363902.45706 ns;
748;13246074.31889 ns;
749;13406386.59894 ns;
750;13310653.15753 ns;
751;13322940.09626 ns;
752;13406887.65049 ns;
753;13254970.31212 ns;
754;13365101.06921 ns;
755;13273158.11068 ns;
756;13309601.69435 ns;
757;13249706.47693 ns;
758;13260623.44015 ns;
759;13228968.71716 ns;
760;13255033.64205 ns;
761;13259258.12125 ns;
762;13382080.01107 ns;
763;13217773.28849 ns;
764;13519212.60357 ns;
765;13407545.16423 ns;
766;13254374.26567 ns;
767;13247795.40300 ns;
768;13283261.09797 ns;
769;13727997.42967 ns;
770;13273500.83739 ns;
771;13292602.26339 ns;
772;13236557.13350 ns;
773;13214245.43858 ns;
774;13224780.55954 ns;
775;13234889.13476 ns;
776;13210882.43276 ns;
777;13211120.85134 ns;
778;13355026.02160 ns;
779;13301310.12946 ns;
780;13330138.28844 ns;
781;13266227.20808 ns;
782;13302864.50684 ns;
783;13289113.52903 ns;
784;13228365.22013 ns;
785;13333020.73181 ns;
786;13248439.87823 ns;
787;13210721.31395 ns;
