ID;HW;LENGTH;TIME;
13325;657;159;13131022.91897;
13326;574;144;13142372.01586;
13327;0;0;13133781.96210;
13328;60;14;13250801.24661;
13329;614;149;13133563.10129;
13330;732;179;13149718.28833;
13331;309;77;13244387.22804;
13332;490;121;13152954.16862;
13333;502;130;13238214.88768;
13334;135;31;13160016.85336;
13335;344;82;13136748.22450;
13336;97;24;13132563.32651;
13337;421;102;13147336.89651;
13338;719;183;13265790.88345;
13339;173;41;13146460.05630;
13340;707;181;13134982.90256;
13341;78;20;13137320.05656;
13342;596;155;13131652.95869;
13343;636;156;13139784.33609;
13344;252;63;13134175.91155;
13345;399;107;13335406.78024;
13346;316;80;13218103.90800;
13347;649;164;13162192.88856;
13348;274;76;13160626.86965;
13349;577;144;13259521.68554;
13350;219;57;13204467.01720;
13351;365;87;13168485.36953;
13352;409;99;13170687.01610;
13353;698;176;13288786.16914;
13354;588;155;13144077.26750;
13355;309;82;13133238.06971;
13356;566;152;13139087.70680;
13357;370;93;13161045.03348;
13358;231;55;13147422.11252;
13359;90;22;13273226.09723;
13360;151;35;13213412.83619;
13361;753;184;13413994.10740;
13362;730;183;13176321.98334;
13363;177;44;13174839.78346;
13364;586;144;13239929.91820;
13365;76;18;13213090.13292;
13366;495;119;13161033.85761;
13367;172;42;13232513.33088;
13368;82;18;13170350.34299;
13369;321;79;13166144.02458;
13370;594;147;13148393.01631;
13371;73;21;13227472.08178;
13372;241;59;13204326.85316;
13373;45;11;13224617.11243;
13374;432;109;13269845.86194;
13375;63;18;13228743.33709;
13376;645;166;13190479.01779;
13377;611;147;13135064.85894;
13378;136;34;13312518.59665;
13379;553;138;13324663.97434;
13380;164;41;13323364.77935;
13381;137;32;13309978.87999;
13382;71;19;13316954.95173;
13383;437;102;13157154.89909;
13384;652;165;13189538.84766;
13385;546;133;13311707.88035;
13386;698;172;13322606.21712;
13387;206;49;13271213.04348;
13388;502;133;13301085.68072;
13389;511;123;13240488.71174;
13390;236;57;13131659.94361;
13391;606;154;13179777.19009;
13392;307;73;13189200.31190;
13393;69;17;13154142.07056;
13394;168;42;13187664.09531;
13395;557;144;13185917.39982;
13396;494;134;13162774.96517;
13397;395;96;13274204.91725;
13398;11;3;13145619.07202;
13399;576;143;13146425.13171;
13400;336;84;13135398.27242;
13401;431;101;13165277.89459;
13402;169;43;13200808.78213;
13403;262;68;13165340.29320;
