ID;HW;TIME;
858;259;1477281.56298;
859;227;1473742.53720;
860;253;1475253.14242;
861;264;1476331.61396;
862;245;1473085.02346;
863;261;1472828.90975;
864;272;1473770.47688;
865;261;1473967.91726;
866;243;1474854.53635;
867;251;1475008.20458;
868;242;1471324.82380;
869;274;1475003.54797;
870;246;1472550.44430;
871;255;1472097.82153;
872;256;1473581.41840;
873;261;1475938.59583;
874;271;1475928.35128;
875;245;1476141.62415;
876;268;1474514.60361;
877;247;1473903.65601;
878;241;1479393.80258;
879;263;1475574.44870;
880;258;1475735.56751;
881;264;1474766.99203;
882;252;1473134.38356;
883;275;1473981.88710;
884;237;1473025.41882;
885;263;1473154.87266;
886;255;1474896.44587;
887;252;1475204.71364;
888;295;1474254.76462;
889;275;1473037.52601;
890;256;1473241.48566;
891;264;1474776.30526;
892;261;1473857.08988;
893;240;1473143.69678;
894;266;1476721.83812;
895;258;1475886.44177;
896;266;1473997.71959;
897;268;1476052.21719;
898;255;1475282.01342;
899;264;1473000.27311;
900;266;1476228.23715;
901;251;1475743.01809;
902;249;1476294.36105;
903;265;1473560.92930;
904;268;1473723.91075;
905;235;1474102.95904;
906;267;1472011.20853;
907;229;1473261.04343;
908;268;1473496.66804;
909;256;1476356.75967;
910;248;1474139.28062;
911;250;1471250.31799;
912;251;1473903.65601;
913;260;1473415.64298;
914;269;1472757.19792;
915;276;1482018.26960;
916;268;1475534.40183;
917;266;1475913.45012;
918;267;1472731.12088;
919;263;1473918.55717;
