ID;HW;TIME
567;244;1480086.70658 ns;
568;242;1478374.00436 ns;
569;262;1495042.81580 ns;
570;246;1483923.75559 ns;
571;277;1474930.90481 ns;
572;244;1504668.96594 ns;
573;265;1478678.54685 ns;
574;260;1499721.78042 ns;
575;247;1482951.45482 ns;
576;249;1474563.96371 ns;
577;256;1484598.03313 ns;
578;242;1474400.98226 ns;
579;261;1524209.97620 ns;
580;264;1519318.67003 ns;
581;250;1479050.14455 ns;
582;245;1475341.61806 ns;
583;279;1477085.05392 ns;
584;254;1474068.50010 ns;
585;247;1495768.31609 ns;
586;249;1499910.83890 ns;
587;260;1490304.24654 ns;
588;246;1478987.74594 ns;
589;255;1474099.23375 ns;
590;268;1473355.10701 ns;
591;254;1492884.94140 ns;
592;278;1502564.17692 ns;
593;242;1523749.90284 ns;
594;253;1497323.62479 ns;
595;277;1481061.80131 ns;
596;255;1484235.74865 ns;
597;231;1484520.73336 ns;
598;243;1474999.82268 ns;
599;265;1484313.97974 ns;
600;254;1501766.03347 ns;
601;260;1487881.87653 ns;
602;250;1475529.74522 ns;
603;253;1472889.44572 ns;
604;233;1475019.38045 ns;
605;265;1492491.92327 ns;
606;259;1488957.55410 ns;
607;259;1518993.63846 ns;
608;262;1474482.00732 ns;
609;254;1475822.18051 ns;
610;252;1474230.55023 ns;
611;230;1473845.91401 ns;
612;259;1495307.31142 ns;
613;266;1479849.21932 ns;
614;262;1500109.21061 ns;
615;248;1474821.94006 ns;
616;273;1472298.98721 ns;
617;271;1473843.12004 ns;
618;269;1475615.42690 ns;
619;252;1474936.49274 ns;
620;251;1480673.43980 ns;
621;254;1518757.08252 ns;
622;246;1512216.40408 ns;
623;253;1514677.88965 ns;
624;279;1475598.66309 ns;
625;248;1475927.41996 ns;
626;262;1488317.73549 ns;
627;260;1500841.23015 ns;
628;228;1495731.99451 ns;
629;246;1474573.27694 ns;
630;243;1474885.27000 ns;
631;276;1484665.08836 ns;
632;267;1483627.59501 ns;
633;261;1479816.62303 ns;
634;241;1482881.60563 ns;
635;249;1475090.16097 ns;
636;257;1473597.25088 ns;
637;263;1474143.00591 ns;
638;267;1751601.69601 ns;
639;239;1480774.95396 ns;
640;246;1489219.25575 ns;
641;246;1475798.89745 ns;
642;251;1492152.92186 ns;
643;263;1473763.02630 ns;
644;259;1474202.61055 ns;
645;231;1475298.77722 ns;
646;258;1488249.74895 ns;
647;249;1479263.41742 ns;
648;269;1475704.83387 ns;
649;267;1475858.50209 ns;
650;246;1472897.82763 ns;
651;257;1478269.69624 ns;
652;258;1485050.65590 ns;
653;262;1519113.77907 ns;
654;248;1499699.42868 ns;
655;247;1473558.13533 ns;
656;272;1492911.94975 ns;
657;248;1495617.44183 ns;
658;262;1471758.82012 ns;
659;273;1479099.50465 ns;
660;255;1478800.55010 ns;
661;267;1499032.60171 ns;
662;249;1474898.30852 ns;
663;245;1475574.44870 ns;
664;244;1473399.81049 ns;
665;258;1475892.96103 ns;
666;260;1481560.05889 ns;
667;262;1500573.94058 ns;
668;283;1490117.98203 ns;
669;274;1494159.92200 ns;
670;263;1475496.21761 ns;
671;271;1485350.54177 ns;
672;259;1484331.67487 ns;
673;267;1478785.64894 ns;
674;255;1480184.49545 ns;
675;255;1479612.66339 ns;
676;260;1474988.64681 ns;
677;250;1476746.05250 ns;
678;249;1504868.26897 ns;
679;265;1474939.28671 ns;
680;263;1478804.27539 ns;
681;258;1528389.75191 ns;
682;243;1575765.19996 ns;
683;255;1476181.67102 ns;
684;268;1473436.13207 ns;
685;247;1476055.01115 ns;
686;260;1519383.86261 ns;
687;249;1518631.35397 ns;
688;256;1497825.60766 ns;
689;237;1494783.90813 ns;
690;250;1474349.75952 ns;
691;255;1475506.46216 ns;
692;265;1473600.04485 ns;
693;268;1488729.38007 ns;
694;264;1480096.95113 ns;
695;260;1478487.62572 ns;
696;275;1472226.34405 ns;
697;237;1476245.93228 ns;
698;246;1476132.31093 ns;
699;254;1474980.26490 ns;
700;256;1499121.07736 ns;
701;256;1489330.08313 ns;
702;233;1474286.42958 ns;
703;284;1473966.98594 ns;
704;250;1508019.86456 ns;
705;253;1474259.42123 ns;
706;258;1473390.49727 ns;
707;258;1478514.63407 ns;
708;278;1488406.21114 ns;
709;256;1483082.77130 ns;
710;251;1474230.55023 ns;
711;262;1484794.54219 ns;
712;238;1476339.99586 ns;
713;244;1474795.86303 ns;
714;277;1478657.12643 ns;
715;248;1480273.90242 ns;
716;257;1565880.14215 ns;
717;255;1472013.07118 ns;
718;268;1473276.87591 ns;
719;266;1475200.05703 ns;
720;252;1480323.26251 ns;
721;237;1478493.21365 ns;
722;274;1486660.91263 ns;
723;266;1474677.58507 ns;
724;255;1473505.98127 ns;
725;263;1484026.20107 ns;
726;259;1483637.83956 ns;
727;251;1478668.30230 ns;
728;257;1479638.74042 ns;
729;254;1478615.21691 ns;
730;277;1475131.13916 ns;
731;239;1483611.76252 ns;
732;251;1475493.42364 ns;
733;272;1474704.59342 ns;
734;245;1482089.05011 ns;
735;275;1480377.27922 ns;
736;241;1485390.58864 ns;
737;261;1484672.53894 ns;
738;263;1488389.44733 ns;
739;259;1476001.92577 ns;
740;241;1476323.23205 ns;
741;249;1498155.29585 ns;
742;265;1577829.94211 ns;
743;252;1484245.99320 ns;
744;249;1473569.31120 ns;
745;244;1475392.84080 ns;
746;276;1483958.21452 ns;
747;270;1488490.96149 ns;
748;239;1480616.62912 ns;
749;271;1479729.07871 ns;
750;238;1474549.99387 ns;
751;250;1473851.50194 ns;
752;247;1474875.95677 ns;
753;265;1476221.71789 ns;
754;245;1478770.74778 ns;
755;270;1479820.34832 ns;
756;239;1476308.33089 ns;
757;255;1475211.23290 ns;
758;259;1474589.10942 ns;
759;252;1475114.37535 ns;
760;260;1474618.91174 ns;
761;261;1478834.07772 ns;
762;261;1517725.17711 ns;
763;260;1476974.22653 ns;
764;248;1473953.01610 ns;
765;261;1475651.74848 ns;
766;275;1475358.38187 ns;
767;257;1483068.80146 ns;
768;274;1480369.82864 ns;
769;258;1487553.11966 ns;
770;243;1493778.07975 ns;
771;276;1485534.01232 ns;
772;269;1525338.73916 ns;
773;259;1473993.06297 ns;
774;265;1478882.50649 ns;
775;242;1479536.29494 ns;
776;254;1479074.35894 ns;
777;243;1476344.65247 ns;
778;263;1474890.85793 ns;
779;263;1485642.04574 ns;
780;257;1516638.32366 ns;
781;265;1481631.77073 ns;
782;228;1476558.85667 ns;
783;241;1479393.80258 ns;
784;264;1474741.84632 ns;
785;247;1473465.93440 ns;
786;260;1473277.80724 ns;
787;269;1502925.53008 ns;
788;259;1477514.39363 ns;
789;234;1497430.72689 ns;
790;262;1478469.93059 ns;
791;250;1475881.78515 ns;
792;254;1513506.28585 ns;
793;260;1474415.88342 ns;
794;242;1474947.66861 ns;
795;286;1482026.65150 ns;
796;226;1478259.45169 ns;
797;261;1479807.30981 ns;
798;263;1494169.23523 ns;
799;265;1476216.12996 ns;
800;249;1474049.87365 ns;
801;250;1474453.13632 ns;
802;259;1480850.39109 ns;
803;266;1479814.76039 ns;
804;262;1475106.92477 ns;
805;259;1475770.95777 ns;
806;262;1475417.98651 ns;
807;275;1473256.38682 ns;
808;255;1474150.45649 ns;
809;258;1497491.26285 ns;
810;271;1478294.84195 ns;
811;258;1473401.67314 ns;
812;249;1474093.64581 ns;
813;264;1486392.69173 ns;
814;252;1475255.93638 ns;
815;241;1475552.09696 ns;
816;241;1482302.32298 ns;
817;282;1518480.47972 ns;
818;255;1475386.32154 ns;
819;248;1484545.87907 ns;
820;269;1493772.49181 ns;
821;268;1473582.34972 ns;
822;253;1479912.54926 ns;
823;250;1477007.75415 ns;
824;280;1540364.69758 ns;
825;254;1473463.14043 ns;
826;254;1473989.33768 ns;
827;251;1475864.09003 ns;
828;254;1475129.27651 ns;
829;266;1503239.38578 ns;
830;275;1507247.79814 ns;
831;253;1481748.18605 ns;
832;257;1475860.36474 ns;
833;257;1482512.80189 ns;
834;248;1476274.80328 ns;
