ID;HW;LENGTH;TIME
626;1048;13226332.60861 ns;
627;1003;13619569.59590 ns;
628;1008;13284360.05861 ns;
629;1064;13268322.68387 ns;
630;999;13142305.89196 ns;
631;1026;13120777.90499 ns;
632;978;13237983.91968 ns;
633;1042;13178423.04707 ns;
634;994;13119400.94456 ns;
635;1004;13118661.94010 ns;
636;1008;13143426.73868 ns;
637;991;13161907.90385 ns;
638;1076;13133013.62097 ns;
639;1072;13120616.78618 ns;
640;1024;13240547.85073 ns;
641;1009;13137490.02293 ns;
642;1017;13180391.86299 ns;
643;1006;13206123.84006 ns;
644;1044;13134361.71040 ns;
645;1017;13303447.04911 ns;
646;1048;13203050.00991 ns;
647;1020;13280110.43370 ns;
648;1027;13121141.12079 ns;
649;1048;13261701.91169 ns;
650;1022;13181254.73335 ns;
651;1029;13122846.37243 ns;
652;1029;13180484.06392 ns;
653;1026;13254711.87010 ns;
654;1047;13177988.11942 ns;
655;1001;13118905.94661 ns;
656;995;13181803.28235 ns;
657;1071;13120365.79475 ns;
658;986;13160709.29170 ns;
659;990;13140239.28717 ns;
660;1000;13128031.04520 ns;
661;1012;13308669.90611 ns;
662;1043;13177365.99594 ns;
663;1036;13240761.12360 ns;
664;1027;13251338.15408 ns;
665;1025;13122451.95732 ns;
666;1037;13205165.04347 ns;
667;1016;13240714.09181 ns;
668;1037;13259085.36091 ns;
669;1050;13121324.12568 ns;
670;1047;13133631.55350 ns;
671;981;13179793.95390 ns;
672;997;13210626.31905 ns;
673;1038;13120431.91865 ns;
674;1023;13130234.08875 ns;
675;1010;13165619.22431 ns;
676;1060;13245434.96594 ns;
677;1023;13133923.98879 ns;
678;1024;13121881.05658 ns;
679;1011;13159135.82221 ns;
680;1032;13178430.96331 ns;
681;995;13302092.90609 ns;
682;1020;13125814.03181 ns;
683;1009;13201348.01790 ns;
684;1047;13159465.97606 ns;
685;991;13161152.13558 ns;
686;1016;13249968.64423 ns;
687;1018;13120844.02889 ns;
688;1043;13122379.31415 ns;
689;1029;13193488.12103 ns;
690;1037;13243101.07157 ns;
691;1038;13251339.08540 ns;
692;973;13249348.38340 ns;
693;1015;13224079.27364 ns;
694;1031;13136731.92635 ns;
695;1073;13122695.03251 ns;
696;999;13120749.96531 ns;
697;1010;13263494.70764 ns;
698;1005;13196809.21733 ns;
699;1030;13195154.72278 ns;
700;995;13162721.87978 ns;
701;1064;13142012.99101 ns;
702;1016;13256900.94382 ns;
703;1009;13354788.06868 ns;
704;1057;13212413.06141 ns;
705;1035;13262995.05308 ns;
706;999;13285385.44476 ns;
707;1038;13318114.91400 ns;
708;1073;13120984.19294 ns;
709;1057;13118966.94824 ns;
710;997;13221011.03142 ns;
711;1016;13220474.12395 ns;
712;1071;13350687.92105 ns;
713;1005;13405983.80193 ns;
714;1067;13133842.03240 ns;
715;1045;13138902.83927 ns;
716;1027;13119616.08008 ns;
717;1014;13121383.73032 ns;
718;989;13199307.95580 ns;
719;978;13158828.02010 ns;
720;1027;13144225.81345 ns;
721;988;13162335.84657 ns;
722;1014;13181463.81527 ns;
723;1070;13235159.21831 ns;
724;1041;13153977.22647 ns;
725;1035;13121663.12709 ns;
726;1026;13278390.74656 ns;
727;1013;13201097.02647 ns;
728;992;13160680.88636 ns;
729;1034;13161680.19548 ns;
730;1022;13321492.82098 ns;
731;1060;13120539.02075 ns;
732;1020;13203646.05635 ns;
733;1021;13452151.32460 ns;
734;1024;13166259.04292 ns;
735;1033;13178508.72874 ns;
736;1028;13158332.09082 ns;
737;1054;13161425.01310 ns;
738;981;13158149.08594 ns;
739;1015;13124004.00639 ns;
740;1038;13161411.04326 ns;
741;1015;13118474.74426 ns;
742;1051;13124504.12661 ns;
743;1036;13119149.02180 ns;
744;1041;13298783.91698 ns;
745;1032;13462213.79936 ns;
746;1030;13258541.93419 ns;
747;1038;13310411.01366 ns;
748;1042;13550905.97644 ns;
749;1016;13237322.21499 ns;
750;960;13375428.03958 ns;
751;997;13325224.16487 ns;
752;994;13201015.07008 ns;
753;1050;13361915.94601 ns;
754;1019;13241515.96054 ns;
755;1053;13270131.31231 ns;
756;1019;13286572.88104 ns;
757;1027;13267023.02322 ns;
758;1013;13673700.85791 ns;
759;1041;13539927.08027 ns;
760;1001;13159501.36632 ns;
761;1041;13132004.06730 ns;
762;1032;13117410.70822 ns;
763;1052;13162151.91036 ns;
764;1006;13121168.12915 ns;
765;1005;13164801.98875 ns;
766;982;13163789.64111 ns;
767;994;17725972.92438 ns;
768;1010;13345022.68583 ns;
769;1029;13122598.17496 ns;
770;974;13133860.65885 ns;
771;1052;13124512.97417 ns;
772;1037;13244665.22783 ns;
773;1039;13172843.02786 ns;
774;1015;13121868.01806 ns;
775;1033;13159836.17678 ns;
776;1068;13120939.95512 ns;
777;996;13161418.95950 ns;
778;1020;13258779.88711 ns;
779;1022;13161535.84048 ns;
780;1023;13119953.68451 ns;
781;1009;13120638.20660 ns;
782;1022;13140359.89344 ns;
783;1040;13159126.04332 ns;
784;1025;13161872.97925 ns;
785;1031;13117949.01267 ns;
786;1035;13202802.74376 ns;
787;1014;13240106.86949 ns;
788;1022;13139866.75814 ns;
789;1037;13178749.94129 ns;
790;1011;13119299.89606 ns;
791;995;13195771.72399 ns;
792;1019;13161414.76855 ns;
793;989;13178471.94150 ns;
794;1000;13122625.18331 ns;
795;1047;13159274.12361 ns;
796;1008;13120209.79822 ns;
797;1013;13179794.88522 ns;
798;1006;13178092.89321 ns;
799;1023;13199652.07949 ns;
800;1067;13158239.88989 ns;
801;1018;13122453.81996 ns;
802;1049;13125156.98373 ns;
803;1024;13225947.04106 ns;
804;995;13266494.03200 ns;
805;985;13211745.76879 ns;
806;987;13182261.02740 ns;
807;1040;13117626.30939 ns;
808;997;13161242.93953 ns;
809;1023;13126000.76199 ns;
810;1012;13132263.90630 ns;
811;1045;13120406.77294 ns;
812;1003;13472147.75160 ns;
813;1039;13120396.99405 ns;
814;1004;13124200.98111 ns;
815;1045;13152117.84095 ns;
816;1048;13271979.98762 ns;
817;1045;13232463.03946 ns;
818;990;13199622.74283 ns;
819;1041;13162530.95865 ns;
820;1026;13224469.03214 ns;
821;1009;13300166.93100 ns;
822;1045;13120897.57994 ns;
823;1026;13120993.97182 ns;
824;1010;13218038.24976 ns;
825;1028;13185194.69351 ns;
826;1033;13321349.86296 ns;
827;1035;13480141.29326 ns;
828;1061;13177402.78319 ns;
829;1076;13123641.72190 ns;
830;1042;13317654.84065 ns;
831;1045;13163243.88608 ns;
832;1022;13160950.96990 ns;
833;1033;13123431.70866 ns;
834;1041;13122108.29929 ns;
835;1042;13306421.22775 ns;
836;1030;13181481.97606 ns;
837;1031;13264237.90306 ns;
838;1046;13140550.34891 ns;
839;1034;13304704.33459 ns;
840;1006;13215995.85935 ns;
841;1016;13165730.98302 ns;
842;1032;13160075.06102 ns;
843;1035;13308018.91163 ns;
844;1055;13141081.20278 ns;
845;1019;13121171.85444 ns;
846;1059;13121081.98181 ns;
847;1068;13237230.94538 ns;
848;935;13179495.93067 ns;
849;1005;13122512.95894 ns;
850;1042;13224092.77782 ns;
851;1016;13201762.92211 ns;
852;1031;13120205.60727 ns;
853;1006;13164339.12143 ns;
854;1028;13171396.68390 ns;
855;1024;13303604.90829 ns;
856;1024;13119873.12511 ns;
857;1002;13220177.03205 ns;
858;1014;13157507.87035 ns;
859;1000;13161448.29616 ns;
860;1063;13165203.38878 ns;
861;1008;13207242.82414 ns;
862;1046;13122953.94018 ns;
863;1058;13118762.98860 ns;
864;1004;13129640.83627 ns;
865;1027;13120764.40081 ns;
866;1006;13506035.32046 ns;
867;1003;13317847.15876 ns;
868;1040;13163866.00956 ns;
869;1026;13158947.22939 ns;
870;994;13120322.95391 ns;
871;1049;13203405.77513 ns;
872;1055;13122785.83646 ns;
873;1030;13164454.13977 ns;
874;1022;13237467.96697 ns;
875;1062;13128233.14220 ns;
876;1014;13121596.07187 ns;
877;999;13120566.96042 ns;
