ID;HW;TIME
890;134;1474092.71449 ns;
891;129;1478725.11297 ns;
892;130;1474783.75584 ns;
893;124;1520502.38103 ns;
894;127;1475882.71648 ns;
895;135;1497466.11714 ns;
896;117;1514399.42420 ns;
897;134;1475470.14058 ns;
898;121;1477585.17414 ns;
899;131;1474081.53862 ns;
900;104;1480260.86390 ns;
901;138;1474421.47136 ns;
902;124;1518062.31588 ns;
903;132;1513698.13830 ns;
904;119;1522609.96401 ns;
905;138;1515581.27254 ns;
906;129;1498854.71910 ns;
907;133;1533797.01078 ns;
908;134;1476825.21492 ns;
909;118;1486677.67644 ns;
910;122;1514372.41584 ns;
911;132;1516476.27354 ns;
912;114;1514750.53281 ns;
913;127;1518126.57714 ns;
914;125;1474366.52333 ns;
915;133;1538407.98885 ns;
916;104;1475778.40835 ns;
917;124;1499109.90149 ns;
918;118;1513108.61111 ns;
919;119;1499528.06532 ns;
920;121;1496186.47993 ns;
921;98;1474688.76094 ns;
922;135;1480505.80174 ns;
923;110;1493545.24910 ns;
924;130;1480716.28064 ns;
925;133;1476296.22370 ns;
926;130;1492667.01192 ns;
927;121;1474721.35723 ns;
928;130;1481320.70899 ns;
929;122;1496622.33889 ns;
